S. No,Name,Item,Value
223,Jabrael,Charges Electric Car,137
224,Bruce Lee,Traffic Challan,444
225,Olanga,Traffic Challan,145
226,Alexander,Utility Bills,103
227,Peter,Charges Electric Car,23
228,Agha Khan,Traffic Challan,94
229,Agha Khan,Traffic Challan,488
230,Alexander,Traffic Challan,756
231,Chako,Charges Electric Car,659
232,Alexndra,Utility Bills,301
233,Michael Jackson,Utility Bills,901
234,Mercedes,Traffic Challan,663
235,Ho Chi,Traffic Challan,620
236,Jabrael,Charges Electric Car,664
237,Nizam,Traffic Challan,180
238,Amanpreet,Penalty Taxes,45
239,Jolly,Charges Electric Car,52
240,Ho Chi,Traffic Challan,932
241,Oshin,Traffic Challan,190
242,Peturu,Utility Bills,905
243,Ho Chi,Utility Bills,950
244,Kalicharan,Traffic Challan,195
245,Jazzy,Traffic Challan,596
246,Jabrael,Traffic Challan,582
247,Walter,Penalty Taxes,780
248,Peter,Penalty Taxes,965
249,Ho Chi,Traffic Challan,898
250,Jemmy,Utility Bills,948
251,Achilles,Penalty Taxes,687
252,Saurabh,Traffic Challan,341
253,Jolly,Charges Electric Car,880
254,Gabriel,Penalty Taxes,928
255,Jemmy,Traffic Challan,355
256,Jazzy,Charges Electric Car,147
257,Alexander,Traffic Challan,690
258,Chako,Penalty Taxes,861
259,Chako,Utility Bills,53
260,Achilles,Traffic Challan,338
261,Saurabh,Penalty Taxes,159
262,Walter,Charges Electric Car,583
263,Achilles,Traffic Challan,188
264,Bruce Lee,Penalty Taxes,7
265,Nizam,Traffic Challan,836
266,Peter,Charges Electric Car,543
267,Gutenberg,Traffic Challan,654
268,Achilles,Traffic Challan,201
269,Yoshiro Mori,Utility Bills,726
270,Illiakumbuku,Penalty Taxes,934
271,Vivian,Traffic Challan,46
272,Henry,Traffic Challan,766
273,Gurpreet,Charges Electric Car,842
274,Mercedes,Traffic Challan,681
275,Yoshiro Mori,Traffic Challan,857
276,Olanga,Charges Electric Car,9
277,Esther,Penalty Taxes,347
278,Jabrael,Penalty Taxes,518
279,Sikandar,Charges Electric Car,241
280,Mikka Jai Kishan,Traffic Challan,545
281,Chako,Traffic Challan,535
282,Kalicharan,Traffic Challan,454
283,Alexndra,Charges Electric Car,286
284,Peter,Utility Bills,937
285,Olanga,Utility Bills,567
286,Bruce Lee,Penalty Taxes,969
287,Mikka Jai Kishan,Traffic Challan,582
288,Henry,Traffic Challan,940
289,Gurpreet,Penalty Taxes,511
290,Agha Khan,Traffic Challan,585
291,Jazzy,Penalty Taxes,872
292,Achilles,Utility Bills,164
293,Gutenberg,Utility Bills,126
294,Nootan,Charges Electric Car,390
295,Esther,Utility Bills,953
296,Olanga,Utility Bills,202
297,Nootan,Traffic Challan,245
298,Michael Jackson,Penalty Taxes,481
299,Jerry,Utility Bills,181
300,Gutenberg,Utility Bills,609
301,Swetlana,Charges Electric Car,475
302,Chako,Utility Bills,794
303,Illiakumbuku,Traffic Challan,320
304,Benz,Traffic Challan,741
305,Xian Pen,Traffic Challan,264
306,Alexander,Traffic Challan,165
307,Alexander,Charges Electric Car,63
308,Mikka Jai Kishan,Traffic Challan,492
309,Gurpreet,Traffic Challan,80
310,Saurabh,Penalty Taxes,821
311,Ho Chi,Charges Electric Car,239
312,Jazzy,Traffic Challan,328
313,Kalpataru,Traffic Challan,615
314,Illiakumbuku,Traffic Challan,993
315,Mercedes,Traffic Challan,574
316,Chako,Charges Electric Car,837
317,Gurpreet,Penalty Taxes,561
318,Yoshiro Mori,Traffic Challan,979
319,Gabriel,Charges Electric Car,782
320,Gabriel,Charges Electric Car,158
321,Yoshiro Mori,Traffic Challan,612
322,Amanpreet,Traffic Challan,267
323,Achilles,Penalty Taxes,61
324,Ganta Bhadriah,Utility Bills,210
325,Benz,Charges Electric Car,518
326,Amanpreet,Utility Bills,351
327,Michael Jackson,Traffic Challan,909
328,Akhilesh,Utility Bills,528
329,Jerry,Traffic Challan,386
330,Benz,Charges Electric Car,713
331,Peturu,Penalty Taxes,450
332,Peturu,Traffic Challan,287
333,Mercedes,Charges Electric Car,16
334,Peter,Utility Bills,147
335,Jerry,Traffic Challan,171
336,Nizam,Penalty Taxes,309
337,Jerry,Penalty Taxes,979
338,Ho Chi,Traffic Challan,32
339,Jazzy,Charges Electric Car,775
340,Peter,Charges Electric Car,397
341,Boko,Utility Bills,59
342,Kalicharan,Traffic Challan,415
343,Peter,Traffic Challan,392
344,Peter,Traffic Challan,556
345,Alexander,Penalty Taxes,347
346,Walter,Traffic Challan,898
347,Amanpreet,Traffic Challan,453
348,Chako,Utility Bills,82
349,Irawati,Traffic Challan,698
350,Gutenberg,Traffic Challan,594
351,Newton,Traffic Challan,494
NAME,DOB,UID,CIBIL
Achilles,1/1/1980,19320,320
Akhilesh,3/6/1980,63174,620
Alexander,4/18/1980,67621,512
Sikandar,7/1/1980,16158,461
Alexndra,7/3/1980,95800,683
Gutenberg,8/17/1980,82873,547
Ganta Bhadriah,10/18/1980,99466,382
Peter,12/5/1980,54391,666
Peturu,12/16/1980,14196,615
Gabriel,1/16/1981,76099,570
Jabrael,4/13/1981,73750,419
Sohrab,5/20/1981,92214,687
Saurabh,8/17/1981,24743,536
Newton,10/20/1981,40912,595
Nootan,1/11/1982,10218,366
Michael Jackson,2/13/1982,19272,548
Mikka Jai Kishan,2/16/1982,91597,347
Bruce Lee,2/27/1982,26558,344
Agha Khan,4/26/1982,75670,380
Nizam,5/21/1982,25417,434
Gurpreet,7/19/1982,38108,404
Amanpreet,9/10/1982,46014,459
Jolly,11/28/1982,59407,664
Jazzy,1/11/1983,84784,439
Jemmy,4/6/1983,68091,310
Jerry,7/13/1983,28933,339
Chako,7/14/1983,75506,448
Esther,8/13/1983,85880,478
Vivian,10/6/1983,29708,523
Kalicharan,12/1/1983,60743,476
Ranjan,12/23/1983,51926,472
Henry,2/26/1984,14226,592
Olanga,5/17/1984,46940,397
Oshin,5/29/1984,17318,469
Yoshiro Mori,6/23/1984,12155,457
Swetlana,8/10/1984,37640,399
Irawati,9/19/1984,19458,577
Kalpataru,11/10/1984,45586,481
Boko,1/4/1985,19430,439
Ho Chi,3/24/1985,37014,655
Xian Pen,4/24/1985,65470,319
Benz,7/30/1985,72868,559
Mercedes,9/9/1985,81213,674
Illiakumbuku,11/16/1985,54543,320
Walter,11/24/1985,99284,587
NAME,DOB,UID,CIBIL
Name1,1/1/1980,94798,327
Name10,2/2/1980,82351,572
Name11,4/25/1980,99981,648
Name12,6/7/1980,28256,661
Name13,6/18/1980,73654,686
Name14,7/22/1980,36349,634
Name15,9/19/1980,28463,377
Name16,11/2/1980,62794,538
Name17,1/7/1981,75561,517
Name18,2/20/1981,73779,673
Name19,4/15/1981,82709,340
Name2,5/10/1981,76890,453
Name20,8/16/1981,67888,563
Name21,9/26/1981,59684,613
Name22,11/8/1981,82108,300
Name23,1/6/1982,74897,320
Name24,1/27/1982,33682,640
Name25,3/3/1982,30376,526
Name26,4/4/1982,17228,300
Name27,4/20/1982,96364,329
Name28,7/12/1982,86679,411
Name29,9/14/1982,74838,479
Name3,11/25/1982,72488,603
Name30,1/21/1983,37304,457
Name31,1/27/1983,49277,576
Name32,2/2/1983,87649,570
Name33,3/6/1983,26694,661
Name34,4/15/1983,11357,495
Name35,5/29/1983,47059,600
Name36,7/16/1983,99936,476
Name37,10/1/1983,29399,419
Name38,12/1/1983,26425,385
Name39,2/18/1984,60876,583
Name4,5/5/1984,77162,494
Name40,8/12/1984,13122,336
Name41,9/14/1984,98409,458
Name42,12/18/1984,65106,697
Name43,12/23/1984,35809,558
Name44,3/21/1985,27205,556
Name45,4/4/1985,43874,444
Name5,5/5/1985,30740,458
Name6,5/10/1985,64657,416
Name7,6/11/1985,95893,338
Name8,9/6/1985,25557,503
Name9,12/11/1985,79565,415
S. No,Name,Item,Value
1,Name38,Geo Location2,799
2,Name6,Geo Location3,360
3,Name33,Geo Location2,510
4,Name21,Donates Credit Card points to Charity,805
5,Name5,Charges Electric Car,833
6,Name29,Geo Location1,982
7,Name26,Geo Location2,405
8,Name37,Geo Location2,92
9,Name16,Geo Location3,738
10,Name41,Geo Location2,899
11,Name28,Geo Location3,621
12,Name20,Charges Electric Car,154
13,Name20,Geo Location3,144
14,Name26,Traffic Challan,417
15,Name9,Geo Location1,140
16,Name27,Traffic Challan,601
17,Name23,Charges Electric Car,214
18,Name19,Geo Location3,691
19,Name12,Geo Location3,260
20,Name21,Charges Electric Car,418
21,Name31,Donates Credit Card points to Charity,73
22,Name43,Traffic Challan,752
23,Name15,Traffic Challan,276
24,Name36,Charges Electric Car,381
25,Name12,Geo Location3,1000
26,Name43,Geo Location3,998
27,Name36,Traffic Challan,886
28,Name3,Charges Electric Car,247
29,Name24,Charges Electric Car,692
30,Name17,Geo Location1,757
31,Name8,Donates Credit Card points to Charity,120
32,Name16,Geo Location2,424
33,Name40,Geo Location3,696
34,Name10,Traffic Challan,339
35,Name24,Traffic Challan,811
36,Name5,Traffic Challan,950
37,Name18,Geo Location3,883
38,Name22,Traffic Challan,687
39,Name13,Traffic Challan,441
40,Name9,Charges Electric Car,205
41,Name13,Geo Location1,540
42,Name10,Donates Credit Card points to Charity,934
43,Name1,Charges Electric Car,632
44,Name16,Donates Credit Card points to Charity,170
45,Name4,Geo Location3,659
46,Name16,Geo Location3,779
47,Name6,Charges Electric Car,810
48,Name39,Geo Location2,248
49,Name25,Traffic Challan,524
50,Name27,Geo Location3,825
51,Name3,Donates Credit Card points to Charity,961
52,Name6,Donates Credit Card points to Charity,918
53,Name41,Charges Electric Car,708
54,Name44,Geo Location3,999
55,Name22,Geo Location1,986
56,Name32,Geo Location2,513
57,Name30,Geo Location3,957
58,Name41,Traffic Challan,775
59,Name11,Traffic Challan,100
60,Name45,Geo Location3,194
61,Name24,Donates Credit Card points to Charity,341
62,Name13,Charges Electric Car,634
63,Name7,Geo Location1,436
64,Name5,Donates Credit Card points to Charity,592
65,Name9,Donates Credit Card points to Charity,806
66,Name24,Geo Location2,820
67,Name3,Geo Location1,389
68,Name22,Geo Location1,90
69,Name32,Donates Credit Card points to Charity,568
70,Name26,Donates Credit Card points to Charity,899
71,Name16,Donates Credit Card points to Charity,784
72,Name34,Traffic Challan,380
73,Name45,Traffic Challan,137
74,Name6,Charges Electric Car,274
75,Name5,Traffic Challan,579
76,Name20,Geo Location3,625
77,Name17,Geo Location1,156
78,Name24,Traffic Challan,827
79,Name13,Geo Location2,305
80,Name20,Traffic Challan,541
81,Name13,Geo Location3,169
82,Name14,Charges Electric Car,422
83,Name5,Geo Location3,750
84,Name16,Charges Electric Car,830
85,Name28,Traffic Challan,470
86,Name14,Traffic Challan,114
87,Name8,Geo Location3,312
88,Name44,Geo Location1,197
89,Name13,Charges Electric Car,848
90,Name27,Geo Location3,104
91,Name3,Traffic Challan,767
92,Name37,Geo Location1,556
93,Name36,Geo Location2,80
94,Name19,Charges Electric Car,343
95,Name24,Traffic Challan,51
96,Name36,Geo Location3,381
97,Name30,Traffic Challan,88
98,Name2,Geo Location1,612
99,Name37,Donates Credit Card points to Charity,926
100,Name17,Geo Location2,818
101,Name12,Charges Electric Car,499
102,Name26,Traffic Challan,954
103,Name10,Geo Location3,858
104,Name6,Geo Location3,634
105,Name45,Traffic Challan,733
106,Name12,Geo Location2,599
107,Name43,Traffic Challan,642
108,Name37,Geo Location1,506
109,Name2,Traffic Challan,263
110,Name23,Geo Location1,800
111,Name2,Traffic Challan,962
112,Name1,Geo Location2,424
113,Name16,Traffic Challan,961
114,Name6,Geo Location2,255
115,Name18,Traffic Challan,80
116,Name23,Geo Location1,372
117,Name4,Donates Credit Card points to Charity,451
118,Name8,Donates Credit Card points to Charity,50
119,Name22,Geo Location2,82
120,Name9,Traffic Challan,552
121,Name25,Geo Location1,285
122,Name33,Charges Electric Car,278
123,Name13,Charges Electric Car,502
124,Name16,Geo Location1,956
125,Name22,Traffic Challan,365
126,Name30,Geo Location3,36
127,Name13,Geo Location3,996
128,Name34,Donates Credit Card points to Charity,680
129,Name25,Geo Location2,591
130,Name22,Traffic Challan,143
131,Name26,Traffic Challan,159
132,Name3,Donates Credit Card points to Charity,576
133,Name38,Geo Location2,661
134,Name45,Traffic Challan,581
135,Name10,Geo Location1,80
136,Name17,Charges Electric Car,382
137,Name2,Charges Electric Car,218
138,Name39,Donates Credit Card points to Charity,516
139,Name27,Geo Location2,1000
140,Name34,Traffic Challan,773
141,Name19,Donates Credit Card points to Charity,111
142,Name32,Traffic Challan,87
143,Name37,Donates Credit Card points to Charity,700
144,Name5,Geo Location2,485
145,Name36,Geo Location1,50
146,Name35,Geo Location2,177
147,Name23,Charges Electric Car,558
148,Name14,Traffic Challan,928
149,Name37,Traffic Challan,318
150,Name18,Donates Credit Card points to Charity,849
151,Name6,Charges Electric Car,712
152,Name41,Geo Location1,825
153,Name41,Geo Location3,263
154,Name40,Traffic Challan,618
155,Name22,Geo Location1,457
156,Name40,Traffic Challan,673
157,Name7,Geo Location2,897
158,Name22,Geo Location1,522
159,Name2,Traffic Challan,887
160,Name20,Donates Credit Card points to Charity,953
161,Name19,Donates Credit Card points to Charity,875
162,Name45,Geo Location2,823
163,Name44,Geo Location1,636
164,Name27,Geo Location2,535
165,Name4,Geo Location2,319
166,Name18,Traffic Challan,819
167,Name38,Donates Credit Card points to Charity,241
168,Name3,Geo Location2,340
169,Name28,Charges Electric Car,30
170,Name13,Geo Location3,757
171,Name23,Traffic Challan,584
172,Name4,Traffic Challan,14
173,Name23,Geo Location1,953
174,Name5,Geo Location1,73
175,Name2,Traffic Challan,185
176,Name34,Traffic Challan,292
177,Name11,Traffic Challan,298
178,Name12,Charges Electric Car,411
179,Name28,Donates Credit Card points to Charity,841
180,Name27,Traffic Challan,722
181,Name38,Traffic Challan,57
182,Name11,Geo Location1,414
183,Name15,Traffic Challan,347
184,Name29,Geo Location2,182
185,Name17,Geo Location3,497
186,Name13,Geo Location2,774
187,Name34,Traffic Challan,518
188,Name38,Traffic Challan,80
189,Name32,Geo Location2,754
190,Name14,Charges Electric Car,172
191,Name40,Traffic Challan,181
192,Name36,Traffic Challan,996
193,Name15,Traffic Challan,588
194,Name44,Geo Location3,869
195,Name36,Geo Location2,559
196,Name22,Traffic Challan,702
197,Name23,Traffic Challan,508
198,Name17,Geo Location1,584
199,Name24,Geo Location2,514
200,Name29,Donates Credit Card points to Charity,408
201,Name45,Geo Location3,317
202,Name24,Geo Location3,265
203,Name32,Traffic Challan,638
204,Name27,Geo Location1,675
205,Name6,Geo Location1,865
206,Name36,Geo Location2,782
207,Name9,Donates Credit Card points to Charity,185
208,Name19,Geo Location3,385
209,Name16,Traffic Challan,154
210,Name28,Traffic Challan,774
211,Name27,Traffic Challan,586
212,Name10,Traffic Challan,366
213,Name41,Geo Location3,13
214,Name12,Geo Location2,783
215,Name25,Traffic Challan,860
216,Name34,Geo Location2,271
217,Name43,Traffic Challan,830
218,Name12,Charges Electric Car,601
219,Name11,Traffic Challan,4
220,Name14,Geo Location2,185
221,Name27,Geo Location3,656
222,Name10,Geo Location2,510
223,Name17,Geo Location3,770
224,Name2,Traffic Challan,795
225,Name21,Traffic Challan,347
226,Name23,Traffic Challan,757
227,Name44,Traffic Challan,139
228,Name29,Geo Location3,642
229,Name27,Traffic Challan,428
230,Name33,Donates Credit Card points to Charity,211
231,Name24,Geo Location2,190
232,Name14,Geo Location2,544
233,Name12,Geo Location2,21
234,Name6,Traffic Challan,651
235,Name16,Traffic Challan,785
236,Name4,Geo Location3,290
237,Name12,Traffic Challan,818
238,Name33,Traffic Challan,329
239,Name34,Geo Location1,495
240,Name16,Geo Location2,157
241,Name43,Geo Location1,364
242,Name45,Traffic Challan,481
243,Name37,Charges Electric Car,58
244,Name42,Geo Location1,970
245,Name29,Traffic Challan,199
246,Name33,Traffic Challan,782
247,Name5,Traffic Challan,723
248,Name9,Geo Location3,43
249,Name31,Traffic Challan,738
250,Name22,Traffic Challan,718
251,Name6,Traffic Challan,530
252,Name25,Donates Credit Card points to Charity,174
253,Name16,Geo Location1,397
254,Name18,Traffic Challan,440
255,Name11,Donates Credit Card points to Charity,810
256,Name20,Traffic Challan,348
257,Name33,Traffic Challan,531
258,Name17,Traffic Challan,10
259,Name17,Donates Credit Card points to Charity,856
260,Name27,Charges Electric Car,162
261,Name36,Geo Location2,725
262,Name42,Traffic Challan,882
263,Name19,Geo Location2,967
264,Name10,Geo Location3,186
265,Name23,Traffic Challan,570
266,Name42,Charges Electric Car,128
267,Name9,Traffic Challan,632
268,Name15,Charges Electric Car,521
269,Name6,Donates Credit Card points to Charity,182
270,Name3,Charges Electric Car,481
271,Name19,Donates Credit Card points to Charity,351
272,Name5,Geo Location2,916
273,Name31,Geo Location1,845
274,Name39,Geo Location2,404
275,Name21,Charges Electric Car,29
276,Name27,Charges Electric Car,608
277,Name35,Geo Location1,60
278,Name31,Geo Location3,65
279,Name13,Geo Location1,235
280,Name5,Charges Electric Car,807
281,Name6,Traffic Challan,307
282,Name44,Traffic Challan,719
283,Name7,Geo Location2,613
284,Name36,Traffic Challan,628
285,Name34,Geo Location1,192
286,Name25,Geo Location1,814
287,Name31,Charges Electric Car,221
288,Name21,Geo Location3,871
289,Name35,Donates Credit Card points to Charity,30
290,Name45,Donates Credit Card points to Charity,208
291,Name27,Geo Location1,841
292,Name7,Geo Location3,782
293,Name37,Geo Location2,840
294,Name3,Geo Location2,713
295,Name1,Geo Location2,523
296,Name20,Geo Location2,57
297,Name18,Geo Location2,389
298,Name41,Traffic Challan,585
299,Name7,Geo Location3,353
300,Name36,Geo Location1,209
301,Name14,Traffic Challan,448
302,Name44,Geo Location1,735
303,Name38,Geo Location1,989
304,Name35,Geo Location3,892
305,Name10,Donates Credit Card points to Charity,279
306,Name2,Traffic Challan,157
307,Name44,Traffic Challan,334
308,Name8,Traffic Challan,126
309,Name17,Geo Location3,427
310,Name41,Donates Credit Card points to Charity,408
311,Name31,Geo Location3,590
312,Name35,Traffic Challan,474
313,Name44,Traffic Challan,760
314,Name16,Geo Location2,505
315,Name44,Donates Credit Card points to Charity,111
316,Name40,Geo Location1,131
317,Name10,Donates Credit Card points to Charity,372
318,Name35,Traffic Challan,139
319,Name7,Donates Credit Card points to Charity,847
320,Name9,Traffic Challan,365
321,Name36,Charges Electric Car,534
322,Name24,Charges Electric Car,2
323,Name7,Charges Electric Car,834
324,Name34,Donates Credit Card points to Charity,617
325,Name2,Traffic Challan,802
326,Name40,Traffic Challan,695
327,Name39,Geo Location1,458
328,Name16,Donates Credit Card points to Charity,228
329,Name23,Donates Credit Card points to Charity,493
330,Name44,Geo Location1,347
331,Name30,Geo Location2,355
332,Name25,Donates Credit Card points to Charity,576
333,Name22,Geo Location3,686
334,Name30,Geo Location2,538
335,Name19,Geo Location2,511
336,Name13,Geo Location3,92
337,Name3,Geo Location3,87
338,Name36,Charges Electric Car,899
339,Name18,Charges Electric Car,807
340,Name31,Traffic Challan,396
341,Name43,Geo Location3,281
342,Name31,Traffic Challan,880
343,Name11,Donates Credit Card points to Charity,195
344,Name15,Traffic Challan,510
345,Name33,Charges Electric Car,493
346,Name5,Geo Location3,652
347,Name15,Traffic Challan,818
348,Name12,Donates Credit Card points to Charity,634
349,Name45,Traffic Challan,536
350,Name25,Geo Location1,740
351,Name21,Geo Location1,558
352,Name4,Charges Electric Car,260
353,Name37,Geo Location3,458
354,Name44,Traffic Challan,484
355,Name43,Traffic Challan,657
356,Name7,Geo Location1,339
357,Name24,Traffic Challan,307
358,Name10,Geo Location3,546
359,Name4,Geo Location1,397
360,Name8,Geo Location2,411
361,Name2,Geo Location3,148
362,Name8,Geo Location2,891
